year,month,country,LC,MC,SC,S_code,export,export_rate,import,import_rate,CA
2016,10,EU,전기기계부품,전기변환장치,방전램프용안정기,5,17,-22.4,14,-28.3,3
2016,10,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,411,-9.6,458,4.0,-47
2016,11,EU,전기기계부품,전기변환장치,전동기,순번,384,2.4,382,10.7,2
2016,11,EU,전기기계부품,전기변환장치,발전기,24019,369,-3.1,218,20.4,151
2016,11,EU,전기기계부품,전기변환장치,변압기,6,221,4.2,85,-6.6,136
2016,11,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,150,-5.5,145,0.8,5
2016,11,EU,전기기계부품,전기변환장치,방전램프용안정기,5,15,-16.8,12,-23.8,3
2016,11,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,460,2.6,456,3.8,4
2016,12,EU,전기기계부품,전기변환장치,전동기,순번,398,9.4,328,7.2,70
2016,12,EU,전기기계부품,전기변환장치,발전기,24019,444,29.5,182,13.2,262
2016,12,EU,전기기계부품,전기변환장치,변압기,6,228,5.8,74,1.9,154
2016,12,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,147,10.4,133,-0.6,14
2016,12,EU,전기기계부품,전기변환장치,방전램프용안정기,5,18,-23.4,12,-26.5,6
2016,12,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,436,-0.9,423,-4.8,13
2015,1,EU,전기기계부품,전기변환장치,전동기,순번,324,7.7,341,14.3,-17
2015,1,EU,전기기계부품,전기변환장치,발전기,24019,309,-2.9,175,7.1,134
2015,1,EU,전기기계부품,전기변환장치,변압기,6,159,-10.6,87,28.8,72
2015,1,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,130,-2.8,135,12.7,-5
2015,1,EU,전기기계부품,전기변환장치,방전램프용안정기,5,19,-8.4,25,-11.4,-6
2015,1,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,345,5.0,389,9.4,-44
2015,2,EU,전기기계부품,전기변환장치,전동기,순번,339,-1.7,317,12.3,22
2015,2,EU,전기기계부품,전기변환장치,발전기,24019,335,-5.3,170,13.7,165
2015,2,EU,전기기계부품,전기변환장치,변압기,6,203,7.0,80,28.1,123
2015,2,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,143,-3.6,124,18.4,19
2015,2,EU,전기기계부품,전기변환장치,방전램프용안정기,5,22,-4.8,21,-15.1,1
2015,2,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,360,2.2,386,21.7,-26
2015,3,EU,전기기계부품,전기변환장치,전동기,순번,405,21.2,364,25.9,41
2015,3,EU,전기기계부품,전기변환장치,발전기,24019,399,40.4,184,17.6,215
2015,3,EU,전기기계부품,전기변환장치,변압기,6,225,25.8,82,12.1,143
2015,3,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,143,-0.5,146,22.6,-3
2015,3,EU,전기기계부품,전기변환장치,방전램프용안정기,5,24,-1.4,21,-15.9,3
2015,3,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,468,30.4,439,20.8,29
2015,4,EU,전기기계부품,전기변환장치,전동기,순번,378,11.3,339,16.8,39
2015,4,EU,전기기계부품,전기변환장치,발전기,24019,350,-8.5,184,9.3,166
2015,4,EU,전기기계부품,전기변환장치,변압기,6,192,-9.3,88,15.6,104
2015,4,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,141,1.0,142,20.7,-1
2015,4,EU,전기기계부품,전기변환장치,방전램프용안정기,5,23,1.8,20,-27.4,3
2015,4,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,404,11.7,409,12.2,-5
2015,5,EU,전기기계부품,전기변환장치,전동기,순번,345,0.5,336,18.0,9
2015,5,EU,전기기계부품,전기변환장치,발전기,24019,367,-0.8,182,8.4,185
2015,5,EU,전기기계부품,전기변환장치,변압기,6,201,1.3,75,0.5,126
2015,5,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,138,-6.2,146,22.0,-8
2015,5,EU,전기기계부품,전기변환장치,방전램프용안정기,5,20,-20.0,22,-10.3,-2
2015,5,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,397,13.7,416,13.6,-19
2015,6,EU,전기기계부품,전기변환장치,전동기,순번,411,10.1,380,27.7,31
2015,6,EU,전기기계부품,전기변환장치,발전기,24019,362,10.3,210,25.5,152
2015,6,EU,전기기계부품,전기변환장치,변압기,6,260,22.3,103,20.2,157
2015,6,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,158,13.0,147,25.2,11
2015,6,EU,전기기계부품,전기변환장치,방전램프용안정기,5,23,-8.2,21,-33.3,2
2015,6,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,450,13.3,439,21.2,11
2015,7,EU,전기기계부품,전기변환장치,전동기,순번,424,3.9,363,15.9,61
2015,7,EU,전기기계부품,전기변환장치,발전기,24019,380,-2.8,208,1.2,172
2015,7,EU,전기기계부품,전기변환장치,변압기,6,230,-15.7,98,16.9,132
2015,7,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,149,-4.3,142,10.6,7
2015,7,EU,전기기계부품,전기변환장치,방전램프용안정기,5,24,-15.3,22,-24.6,2
2015,7,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,472,8.6,437,8.6,35
2015,8,EU,전기기계부품,전기변환장치,전동기,순번,338,3.5,305,22.5,33
2015,8,EU,전기기계부품,전기변환장치,발전기,24019,262,-10.5,173,14.8,89
2015,8,EU,전기기계부품,전기변환장치,변압기,6,202,4.7,90,24.1,112
2015,8,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,133,5.0,136,21.3,-3
2015,8,EU,전기기계부품,전기변환장치,방전램프용안정기,5,18,-21.9,16,-26.3,2
2015,8,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,420,3.5,400,17.8,20
2015,9,EU,전기기계부품,전기변환장치,전동기,순번,352,-4.5,390,24.3,-38
2015,9,EU,전기기계부품,전기변환장치,발전기,24019,326,-0.5,201,17.8,125
2015,9,EU,전기기계부품,전기변환장치,변압기,6,201,-4.0,86,-1.1,115
2015,9,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,162,16.7,153,17.4,9
2015,9,EU,전기기계부품,전기변환장치,방전램프용안정기,5,21,-12.7,19,-17.8,2
2015,9,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,444,4.0,433,7.9,11
2015,10,EU,전기기계부품,전기변환장치,전동기,순번,382,1.6,368,14.7,14
2015,10,EU,전기기계부품,전기변환장치,발전기,24019,306,-23.3,203,7.4,103
2015,10,EU,전기기계부품,전기변환장치,변압기,6,208,5.6,85,-1.5,123
2015,10,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,189,30.9,142,8.9,47
2015,10,EU,전기기계부품,전기변환장치,방전램프용안정기,5,22,-15.6,20,-12.1,2
2015,10,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,455,-0.1,440,8.0,15
2015,11,EU,전기기계부품,전기변환장치,전동기,순번,375,7.8,345,21.3,30
2015,11,EU,전기기계부품,전기변환장치,발전기,24019,381,11.9,181,11.8,200
2015,11,EU,전기기계부품,전기변환장치,변압기,6,212,30.8,91,26.5,121
2015,11,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,158,28.8,144,20.3,14
2015,11,EU,전기기계부품,전기변환장치,방전램프용안정기,5,18,-19.2,16,-15.2,2
2015,11,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,449,6.9,439,15.8,10
2015,12,EU,전기기계부품,전기변환장치,전동기,순번,364,-5.2,306,18.6,58
2015,12,EU,전기기계부품,전기변환장치,발전기,24019,343,-15.4,161,19.8,182
2015,12,EU,전기기계부품,전기변환장치,변압기,6,215,-9.2,72,5.0,143
