year,month,country,LC,MC,SC,S_code,export,export_rate,import,import_rate,CA
2016,10,미국,섬유제품,제사 및 방적,기타 방적,11014,0,-100.0,0,-100.0,0
2016,11,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,84,534.2,495,37.9,-411
2016,11,미국,섬유제품,제사 및 방적,면방적,11019,"97,795",-3.7,"11,846",3.6,"85,949"
2016,11,미국,섬유제품,제사 및 방적,모방적,6,960,-15.6,"7,438",-31.0,"-6,478"
2016,11,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"37,274",-16.3,"25,153",-1.1,"12,121"
2016,11,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"11,160",-9.1,"5,155",6.4,"6,005"
2016,11,미국,섬유제품,제사 및 방적,기타 방적,11014,4,-37.6,86,-55.2,-82
2016,12,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,9,0.0,360,-6.8,-351
2016,12,미국,섬유제품,제사 및 방적,면방적,11019,"81,868",5.5,"11,870",10.2,"69,998"
2016,12,미국,섬유제품,제사 및 방적,모방적,6,776,-10.4,"7,642",-15.3,"-6,866"
2016,12,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"30,596",-11.8,"20,454",6.1,"10,142"
2016,12,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"11,480",1.5,"4,114",-12.5,"7,366"
2016,12,미국,섬유제품,제사 및 방적,기타 방적,11014,12,281.1,239,-26.5,-227
2015,1,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,0,0.0,535,-21.6,-535
2015,1,미국,섬유제품,제사 및 방적,면방적,11019,"110,387",7.3,"10,586",-35.7,"99,801"
2015,1,미국,섬유제품,제사 및 방적,모방적,6,"1,252",-22.8,"8,590",14.8,"-7,338"
2015,1,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"41,524",7.3,"26,376",-9.2,"15,148"
2015,1,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"15,628",32.2,"4,404",-2.3,"11,224"
2015,1,미국,섬유제품,제사 및 방적,기타 방적,11014,99,"2,236.3",171,-11.5,-72
2015,2,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,0,-100.0,765,31.4,-765
2015,2,미국,섬유제품,제사 및 방적,면방적,11019,"111,725",8.7,"11,532",9.3,"100,193"
2015,2,미국,섬유제품,제사 및 방적,모방적,6,982,11.8,"10,060",19.0,"-9,078"
2015,2,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"40,415",1.6,"23,078",4.3,"17,337"
2015,2,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"13,115",11.8,"4,424",35.0,"8,691"
2015,2,미국,섬유제품,제사 및 방적,기타 방적,11014,81,642.9,223,120.7,-142
2015,3,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,0,0.0,553,-23.2,-553
2015,3,미국,섬유제품,제사 및 방적,면방적,11019,"116,819",-0.3,"14,835",-3.9,"101,984"
2015,3,미국,섬유제품,제사 및 방적,모방적,6,"1,439",27.8,"11,364",16.4,"-9,925"
2015,3,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"46,693",-2.0,"32,229",23.4,"14,464"
2015,3,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"15,725",17.3,"5,692",1.5,"10,033"
2015,3,미국,섬유제품,제사 및 방적,기타 방적,11014,81,986.6,304,6.8,-223
2015,4,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,109,214.5,631,42.1,-522
2015,4,미국,섬유제품,제사 및 방적,면방적,11019,"110,780",9.8,"15,647",11.6,"95,133"
2015,4,미국,섬유제품,제사 및 방적,모방적,6,606,-36.8,"10,906",15.5,"-10,300"
2015,4,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"45,644",21.5,"31,918",24.4,"13,726"
2015,4,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"13,991",12.3,"6,418",40.2,"7,573"
2015,4,미국,섬유제품,제사 및 방적,기타 방적,11014,3,0.0,208,-39.7,-205
2015,5,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,23,-31.4,554,-16.6,-531
2015,5,미국,섬유제품,제사 및 방적,면방적,11019,"123,228",-0.6,"13,524",-2.2,"109,704"
2015,5,미국,섬유제품,제사 및 방적,모방적,6,"1,009",1.9,"12,596",22.4,"-11,587"
2015,5,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"48,526",12.8,"29,698",11.3,"18,828"
2015,5,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"14,650",8.5,"5,547",-0.2,"9,103"
2015,5,미국,섬유제품,제사 및 방적,기타 방적,11014,10,-1.6,113,-35.3,-103
2015,6,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,129,168.8,649,-2.2,-520
2015,6,미국,섬유제품,제사 및 방적,면방적,11019,"116,161",-10.3,"15,182",10.0,"100,979"
2015,6,미국,섬유제품,제사 및 방적,모방적,6,801,-14.8,"12,059",13.0,"-11,258"
2015,6,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"49,140",15.2,"27,438",11.7,"21,702"
2015,6,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"14,384",3.1,"5,029",-1.4,"9,355"
2015,6,미국,섬유제품,제사 및 방적,기타 방적,11014,7,-64.4,151,-45.0,-144
2015,7,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,0,-100.0,525,-23.9,-525
2015,7,미국,섬유제품,제사 및 방적,면방적,11019,"121,143",-2.1,"13,889",-5.8,"107,254"
2015,7,미국,섬유제품,제사 및 방적,모방적,6,915,2.2,"13,491",-7.1,"-12,576"
2015,7,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"46,801",6.1,"27,734",6.4,"19,067"
2015,7,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"11,112",-12.3,"6,783",29.3,"4,329"
2015,7,미국,섬유제품,제사 및 방적,기타 방적,11014,15,188.5,286,113.7,-271
2015,8,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,5,-43.6,986,46.4,-981
2015,8,미국,섬유제품,제사 및 방적,면방적,11019,"112,413",-10.6,"11,242",-21.2,"101,171"
2015,8,미국,섬유제품,제사 및 방적,모방적,6,"1,202",-13.9,"11,795",-4.0,"-10,593"
2015,8,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"50,059",4.3,"26,905",13.3,"23,154"
2015,8,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"15,100",13.5,"5,639",4.9,"9,461"
2015,8,미국,섬유제품,제사 및 방적,기타 방적,11014,3,0.0,275,21.0,-272
2015,9,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,28,-16.7,401,-37.7,-373
2015,9,미국,섬유제품,제사 및 방적,면방적,11019,"104,797",-11.1,"9,799",-30.2,"94,998"
2015,9,미국,섬유제품,제사 및 방적,모방적,6,917,-41.5,"11,019",0.6,"-10,102"
2015,9,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"40,780",-1.1,"25,370",-6.6,"15,410"
2015,9,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"13,458",-4.0,"5,239",12.0,"8,219"
2015,9,미국,섬유제품,제사 및 방적,기타 방적,11014,5,-95.2,122,-2.8,-117
2015,10,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,23,724.6,536,9.3,-513
2015,10,미국,섬유제품,제사 및 방적,면방적,11019,"115,120",-7.0,"13,988",-11.1,"101,132"
2015,10,미국,섬유제품,제사 및 방적,모방적,6,"1,242",-9.0,"10,215",-15.4,"-8,973"
2015,10,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"49,626",2.4,"25,651",-10.5,"23,975"
2015,10,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"14,132",-9.2,"4,648",-10.3,"9,484"
2015,10,미국,섬유제품,제사 및 방적,기타 방적,11014,0,-100.0,83,-68.8,-83
2015,11,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,13,239.7,359,0.5,-346
2015,11,미국,섬유제품,제사 및 방적,면방적,11019,"101,557",-15.4,"11,435",-13.5,"90,122"
2015,11,미국,섬유제품,제사 및 방적,모방적,6,"1,136",-16.4,"10,777",21.4,"-9,641"
2015,11,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"44,541",-5.3,"25,442",-11.0,"19,099"
2015,11,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"12,280",-20.3,"4,844",18.0,"7,436"
2015,11,미국,섬유제품,제사 및 방적,기타 방적,11014,6,0.0,192,37.6,-186
2015,12,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,0,-100.0,386,-15.7,-386
2015,12,미국,섬유제품,제사 및 방적,면방적,11019,"77,590",-15.6,"10,767",-15.3,"66,823"
2015,12,미국,섬유제품,제사 및 방적,모방적,6,866,-24.0,"9,018",15.6,"-8,152"
2015,12,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"34,677",-8.3,"19,272",-31.4,"15,405"
2015,12,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"11,312",-15.0,"4,702",4.0,"6,610"
2015,12,미국,섬유제품,제사 및 방적,기타 방적,11014,3,-7.8,325,40.3,-322
2014,1,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,0,-100.0,682,5.2,-682
2014,1,미국,섬유제품,제사 및 방적,면방적,11019,"102,917",-0.3,"16,458",5.7,"86,459"
2014,1,미국,섬유제품,제사 및 방적,모방적,6,"1,623",76.8,"7,482",-14.2,"-5,859"
2014,1,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"38,696",26.7,"29,048",14.3,"9,648"
2014,1,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"11,817",-1.4,"4,507",-1.5,"7,310"
2014,1,미국,섬유제품,제사 및 방적,기타 방적,11014,4,-84.7,193,31.8,-189
2014,2,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,22,213.3,582,31.2,-560
2014,2,미국,섬유제품,제사 및 방적,면방적,11019,"102,759",-6.2,"10,554",-24.7,"92,205"
2014,2,미국,섬유제품,제사 및 방적,모방적,6,879,-15.7,"8,454",12.2,"-7,575"
2014,2,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"39,776",20.8,"22,124",-16.6,"17,652"
2014,2,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"11,732",7.2,"3,277",-31.5,"8,455"
2014,2,미국,섬유제품,제사 및 방적,기타 방적,11014,11,-80.0,101,-53.1,-90
2014,3,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,0,-100.0,720,-3.0,-720
2014,3,미국,섬유제품,제사 및 방적,면방적,11019,"117,152",1.3,"15,429",-2.4,"101,723"
2014,3,미국,섬유제품,제사 및 방적,모방적,6,"1,126",-1.6,"9,762",26.2,"-8,636"
2014,3,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"47,651",31.6,"26,125",-7.0,"21,526"
2014,3,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"13,408",20.6,"5,605",15.4,"7,803"
2014,3,미국,섬유제품,제사 및 방적,기타 방적,11014,7,-76.1,285,58.2,-278
2014,4,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,35,"1,138.6",444,-19.2,-409
2014,4,미국,섬유제품,제사 및 방적,면방적,11019,"100,932",-9.0,"14,019",3.2,"86,913"
2014,4,미국,섬유제품,제사 및 방적,모방적,6,959,64.1,"9,445",-3.3,"-8,486"
2014,4,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"37,580",2.5,"25,662",-12.6,"11,918"
2014,4,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"12,454",-0.9,"4,579",-10.6,"7,875"
2014,4,미국,섬유제품,제사 및 방적,기타 방적,11014,0,-100.0,346,-16.0,-346
2014,5,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,33,406.2,664,64.1,-631
2014,5,미국,섬유제품,제사 및 방적,면방적,11019,"123,991",0.2,"13,829",-10.2,"110,162"
2014,5,미국,섬유제품,제사 및 방적,모방적,6,990,-11.2,"10,292",-2.2,"-9,302"
2014,5,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"43,033",6.4,"26,692",-13.7,"16,341"
2014,5,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"13,501",9.4,"5,559",8.6,"7,942"
2014,5,미국,섬유제품,제사 및 방적,기타 방적,11014,10,-62.8,174,-27.5,-164
2014,6,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,48,65.6,664,51.4,-616
2014,6,미국,섬유제품,제사 및 방적,면방적,11019,"129,462",4.8,"13,808",29.0,"115,654"
2014,6,미국,섬유제품,제사 및 방적,모방적,6,940,-7.2,"10,671",33.9,"-9,731"
2014,6,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"42,643",4.8,"24,562",-9.1,"18,081"
2014,6,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"13,950",23.7,"5,100",0.2,"8,850"
2014,6,미국,섬유제품,제사 및 방적,기타 방적,11014,20,-23.6,275,137.9,-255
2014,7,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,165,708.7,690,-18.2,-525
2014,7,미국,섬유제품,제사 및 방적,면방적,11019,"123,724",1.2,"14,749",25.5,"108,975"
2014,7,미국,섬유제품,제사 및 방적,모방적,6,895,-18.0,"14,517",26.6,"-13,622"
2014,7,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"44,094",12.3,"26,071",-11.3,"18,023"
2014,7,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"12,677",19.8,"5,246",-13.6,"7,431"
2014,7,미국,섬유제품,제사 및 방적,기타 방적,11014,5,-73.5,134,-29.5,-129
2014,8,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,8,-84.2,673,31.7,-665
2014,8,미국,섬유제품,제사 및 방적,면방적,11019,"125,684",6.2,"14,268",6.4,"111,416"
2014,8,미국,섬유제품,제사 및 방적,모방적,6,"1,396",2.8,"12,283",2.6,"-10,887"
2014,8,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"47,991",16.1,"23,739",-15.9,"24,252"
2014,8,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"13,309",18.7,"5,374",-11.4,"7,935"
2014,8,미국,섬유제품,제사 및 방적,기타 방적,11014,0,-100.0,227,13.1,-227
2014,9,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,34,105.2,644,10.8,-610
2014,9,미국,섬유제품,제사 및 방적,면방적,11019,"117,841",-0.7,"14,049",10.9,"103,792"
2014,9,미국,섬유제품,제사 및 방적,모방적,6,"1,567",45.8,"10,955",21.6,"-9,388"
2014,9,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"41,219",5.8,"27,159",-8.1,"14,060"
2014,9,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"14,016",14.2,"4,677",-0.6,"9,339"
2014,9,미국,섬유제품,제사 및 방적,기타 방적,11014,95,246.9,126,42.9,-31
2014,10,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,3,-98.9,491,-4.9,-488
2014,10,미국,섬유제품,제사 및 방적,면방적,11019,"123,802",7.7,"15,731",4.9,"108,071"
