CA,LC,MC,SC,S_code,country,export,export_rate,import,import_rate,month,year
-411,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,84,534.2,495,37.9,11,2016
"85,949",섬유제품,제사 및 방적,면방적,11019,미국,"97,795",-3.7,"11,846",3.6,11,2016
"-6,478",섬유제품,제사 및 방적,모방적,6,미국,960,-15.6,"7,438",-31.0,11,2016
"12,121",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"37,274",-16.3,"25,153",-1.1,11,2016
"6,005",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"11,160",-9.1,"5,155",6.4,11,2016
-82,섬유제품,제사 및 방적,기타 방적,11014,미국,4,-37.6,86,-55.2,11,2016
-351,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,9,0.0,360,-6.8,12,2016
"69,998",섬유제품,제사 및 방적,면방적,11019,미국,"81,868",5.5,"11,870",10.2,12,2016
"-6,866",섬유제품,제사 및 방적,모방적,6,미국,776,-10.4,"7,642",-15.3,12,2016
"10,142",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"30,596",-11.8,"20,454",6.1,12,2016
"7,366",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"11,480",1.5,"4,114",-12.5,12,2016
-227,섬유제품,제사 및 방적,기타 방적,11014,미국,12,281.1,239,-26.5,12,2016
-535,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,0,0.0,535,-21.6,1,2015
"99,801",섬유제품,제사 및 방적,면방적,11019,미국,"110,387",7.3,"10,586",-35.7,1,2015
"-7,338",섬유제품,제사 및 방적,모방적,6,미국,"1,252",-22.8,"8,590",14.8,1,2015
"15,148",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"41,524",7.3,"26,376",-9.2,1,2015
"11,224",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"15,628",32.2,"4,404",-2.3,1,2015
-72,섬유제품,제사 및 방적,기타 방적,11014,미국,99,"2,236.3",171,-11.5,1,2015
-765,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,0,-100.0,765,31.4,2,2015
"100,193",섬유제품,제사 및 방적,면방적,11019,미국,"111,725",8.7,"11,532",9.3,2,2015
"-9,078",섬유제품,제사 및 방적,모방적,6,미국,982,11.8,"10,060",19.0,2,2015
"17,337",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"40,415",1.6,"23,078",4.3,2,2015
"8,691",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"13,115",11.8,"4,424",35.0,2,2015
-142,섬유제품,제사 및 방적,기타 방적,11014,미국,81,642.9,223,120.7,2,2015
-553,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,0,0.0,553,-23.2,3,2015
"101,984",섬유제품,제사 및 방적,면방적,11019,미국,"116,819",-0.3,"14,835",-3.9,3,2015
"-9,925",섬유제품,제사 및 방적,모방적,6,미국,"1,439",27.8,"11,364",16.4,3,2015
"14,464",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"46,693",-2.0,"32,229",23.4,3,2015
"10,033",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"15,725",17.3,"5,692",1.5,3,2015
-223,섬유제품,제사 및 방적,기타 방적,11014,미국,81,986.6,304,6.8,3,2015
-522,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,109,214.5,631,42.1,4,2015
"95,133",섬유제품,제사 및 방적,면방적,11019,미국,"110,780",9.8,"15,647",11.6,4,2015
"-10,300",섬유제품,제사 및 방적,모방적,6,미국,606,-36.8,"10,906",15.5,4,2015
"13,726",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"45,644",21.5,"31,918",24.4,4,2015
"7,573",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"13,991",12.3,"6,418",40.2,4,2015
-205,섬유제품,제사 및 방적,기타 방적,11014,미국,3,0.0,208,-39.7,4,2015
-531,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,23,-31.4,554,-16.6,5,2015
"109,704",섬유제품,제사 및 방적,면방적,11019,미국,"123,228",-0.6,"13,524",-2.2,5,2015
"-11,587",섬유제품,제사 및 방적,모방적,6,미국,"1,009",1.9,"12,596",22.4,5,2015
"18,828",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"48,526",12.8,"29,698",11.3,5,2015
"9,103",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"14,650",8.5,"5,547",-0.2,5,2015
-103,섬유제품,제사 및 방적,기타 방적,11014,미국,10,-1.6,113,-35.3,5,2015
-531,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,23,-31.4,554,-16.6,6,2015
"109,704",섬유제품,제사 및 방적,면방적,11019,미국,"123,228",-0.6,"13,524",-2.2,6,2015
"-11,587",섬유제품,제사 및 방적,모방적,6,미국,"1,009",1.9,"12,596",22.4,6,2015
"18,828",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"48,526",12.8,"29,698",11.3,6,2015
"9,103",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"14,650",8.5,"5,547",-0.2,6,2015
-103,섬유제품,제사 및 방적,기타 방적,11014,미국,10,-1.6,113,-35.3,6,2015
-525,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,0,-100.0,525,-23.9,7,2015
"107,254",섬유제품,제사 및 방적,면방적,11019,미국,"121,143",-2.1,"13,889",-5.8,7,2015
"-12,576",섬유제품,제사 및 방적,모방적,6,미국,915,2.2,"13,491",-7.1,7,2015
"19,067",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"46,801",6.1,"27,734",6.4,7,2015
"4,329",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"11,112",-12.3,"6,783",29.3,7,2015
-271,섬유제품,제사 및 방적,기타 방적,11014,미국,15,188.5,286,113.7,7,2015
-981,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,5,-43.6,986,46.4,8,2015
"101,171",섬유제품,제사 및 방적,면방적,11019,미국,"112,413",-10.6,"11,242",-21.2,8,2015
"-10,593",섬유제품,제사 및 방적,모방적,6,미국,"1,202",-13.9,"11,795",-4.0,8,2015
"23,154",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"50,059",4.3,"26,905",13.3,8,2015
"9,461",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"15,100",13.5,"5,639",4.9,8,2015
-272,섬유제품,제사 및 방적,기타 방적,11014,미국,3,0.0,275,21.0,8,2015
-373,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,28,-16.7,401,-37.7,9,2015
"94,998",섬유제품,제사 및 방적,면방적,11019,미국,"104,797",-11.1,"9,799",-30.2,9,2015
"-10,102",섬유제품,제사 및 방적,모방적,6,미국,917,-41.5,"11,019",0.6,9,2015
"15,410",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"40,780",-1.1,"25,370",-6.6,9,2015
"8,219",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"13,458",-4.0,"5,239",12.0,9,2015
-117,섬유제품,제사 및 방적,기타 방적,11014,미국,5,-95.2,122,-2.8,9,2015
-513,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,23,724.6,536,9.3,10,2015
"101,132",섬유제품,제사 및 방적,면방적,11019,미국,"115,120",-7.0,"13,988",-11.1,10,2015
"-8,973",섬유제품,제사 및 방적,모방적,6,미국,"1,242",-9.0,"10,215",-15.4,10,2015
"23,975",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"49,626",2.4,"25,651",-10.5,10,2015
"9,484",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"14,132",-9.2,"4,648",-10.3,10,2015
-83,섬유제품,제사 및 방적,기타 방적,11014,미국,0,-100.0,83,-68.8,10,2015
-346,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,13,239.7,359,0.5,11,2015
"90,122",섬유제품,제사 및 방적,면방적,11019,미국,"101,557",-15.4,"11,435",-13.5,11,2015
"-9,641",섬유제품,제사 및 방적,모방적,6,미국,"1,136",-16.4,"10,777",21.4,11,2015
"19,099",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"44,541",-5.3,"25,442",-11.0,11,2015
"7,436",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"12,280",-20.3,"4,844",18.0,11,2015
-186,섬유제품,제사 및 방적,기타 방적,11014,미국,6,0.0,192,37.6,11,2015
-386,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,0,-100.0,386,-15.7,12,2015
"66,823",섬유제품,제사 및 방적,면방적,11019,미국,"77,590",-15.6,"10,767",-15.3,12,2015
