CA,LC,MC,SC,S_code,country,export,export_rate,import,import_rate,month,year
"53,502",섬유제품,제사 및 방적,면방적,11019,미국,"73,159",19.7,"19,657",-45.8,5,2007
"-6,487",섬유제품,제사 및 방적,모방적,6,미국,"1,223",5.8,"7,710",9.5,5,2007
"-5,031",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"20,706",11.0,"25,737",-9.0,5,2007
"8,541",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"15,266",-6.1,"6,725",3.4,5,2007
15,섬유제품,제사 및 방적,기타 방적,11014,미국,163,140.5,148,-41.2,5,2007
-54,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,572,-57.9,626,16.1,6,2007
"54,805",섬유제품,제사 및 방적,면방적,11019,미국,"73,967",10.0,"19,162",-38.5,6,2007
"-7,263",섬유제품,제사 및 방적,모방적,6,미국,"1,235",-7.6,"8,498",13.5,6,2007
"-2,110",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"21,230",-0.9,"23,340",-0.6,6,2007
"7,081",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"12,931",-18.2,"5,850",-15.0,6,2007
-161,섬유제품,제사 및 방적,기타 방적,11014,미국,137,"3,710.2",298,28.8,6,2007
-330,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,241,-67.1,571,15.8,7,2007
"53,959",섬유제품,제사 및 방적,면방적,11019,미국,"73,939",8.6,"19,980",-21.3,7,2007
"-9,883",섬유제품,제사 및 방적,모방적,6,미국,798,-52.1,"10,681",19.4,7,2007
"3,096",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"22,912",35.5,"19,816",-7.9,7,2007
"4,854",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"11,456",-25.8,"6,602",3.7,7,2007
-238,섬유제품,제사 및 방적,기타 방적,11014,미국,13,-16.4,251,5.6,7,2007
-127,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,420,-42.4,547,-11.4,8,2007
"54,740",섬유제품,제사 및 방적,면방적,11019,미국,"74,271",12.9,"19,531",-26.6,8,2007
"-9,572",섬유제품,제사 및 방적,모방적,6,미국,"1,234",9.6,"10,806",29.2,8,2007
"2,083",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"23,357",19.6,"21,274",2.9,8,2007
"5,916",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"12,434",-21.7,"6,518",-8.2,8,2007
-259,섬유제품,제사 및 방적,기타 방적,11014,미국,6,117.3,265,74.6,8,2007
-96,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,391,-51.1,487,21.3,9,2007
"57,645",섬유제품,제사 및 방적,면방적,11019,미국,"75,161",10.4,"17,516",-33.3,9,2007
"-6,867",섬유제품,제사 및 방적,모방적,6,미국,336,-77.5,"7,203",-2.6,9,2007
"-2,682",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"22,167",16.6,"24,849",20.9,9,2007
"6,120",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"11,759",-18.0,"5,639",3.0,9,2007
-120,섬유제품,제사 및 방적,기타 방적,11014,미국,15,-58.5,135,-33.1,9,2007
366,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,"1,076",77.4,710,69.6,10,2007
"62,063",섬유제품,제사 및 방적,면방적,11019,미국,"79,587",12.7,"17,524",-35.3,10,2007
"-7,690",섬유제품,제사 및 방적,모방적,6,미국,"1,085",-21.2,"8,775",13.0,10,2007
"-2,536",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"25,150",25.1,"27,686",35.2,10,2007
"7,194",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"14,276",-1.0,"7,082",15.2,10,2007
-238,섬유제품,제사 및 방적,기타 방적,11014,미국,4,-90.9,242,51.8,10,2007
-98,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,481,-8.7,579,-1.1,11,2007
"65,782",섬유제품,제사 및 방적,면방적,11019,미국,"80,848",23.2,"15,066",-38.2,11,2007
"-6,854",섬유제품,제사 및 방적,모방적,6,미국,735,-33.1,"7,589",3.6,11,2007
-493,섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"23,587",31.0,"24,080",8.0,11,2007
"5,830",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"12,167",-17.2,"6,337",2.3,11,2007
-207,섬유제품,제사 및 방적,기타 방적,11014,미국,16,98.8,223,-17.2,11,2007
-200,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,422,54.3,622,31.7,12,2007
"45,777",섬유제품,제사 및 방적,면방적,11019,미국,"61,543",18.4,"15,766",-20.7,12,2007
"-6,291",섬유제품,제사 및 방적,모방적,6,미국,516,-33.0,"6,807",1.7,12,2007
-843,섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"19,365",41.0,"20,208",3.6,12,2007
"4,931",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"10,230",-8.0,"5,299",9.9,12,2007
-227,섬유제품,제사 및 방적,기타 방적,11014,미국,51,117.8,278,46.0,12,2007
-472,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,162,59.6,634,49.1,1,2006
"13,961",섬유제품,제사 및 방적,면방적,11019,미국,"49,994",7.0,"36,033",15.3,1,2006
"-4,811",섬유제품,제사 및 방적,모방적,6,미국,"1,028",21.3,"5,839",-2.9,1,2006
"-4,687",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"15,465",-0.1,"20,152",2.8,1,2006
"9,427",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"15,459",14.3,"6,032",42.1,1,2006
-202,섬유제품,제사 및 방적,기타 방적,11014,미국,0,-100.0,202,173.1,1,2006
-16,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,290,150.9,306,-30.2,2,2006
"22,633",섬유제품,제사 및 방적,면방적,11019,미국,"54,637",16.0,"32,004",-1.0,2,2006
"-4,877",섬유제품,제사 및 방적,모방적,6,미국,628,12.6,"5,505",-4.2,2,2006
-882,섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"17,914",58.2,"18,796",2.2,2,2006
"8,572",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"13,894",-5.7,"5,322",-4.5,2,2006
-137,섬유제품,제사 및 방적,기타 방적,11014,미국,22,-41.5,159,12.0,2,2006
-330,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,241,107.2,571,-32.8,3,2006
"25,978",섬유제품,제사 및 방적,면방적,11019,미국,"65,917",38.1,"39,939",-1.3,3,2006
"-5,036",섬유제품,제사 및 방적,모방적,6,미국,764,-29.2,"5,800",-12.1,3,2006
"-2,971",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"21,887",39.4,"24,858",16.2,3,2006
"10,246",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"16,686",-2.2,"6,440",16.9,3,2006
-268,섬유제품,제사 및 방적,기타 방적,11014,미국,12,-66.8,280,68.4,3,2006
315,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,965,"1,279.2",650,-9.0,4,2006
"19,443",섬유제품,제사 및 방적,면방적,11019,미국,"55,187",18.5,"35,744",-6.0,4,2006
"-6,822",섬유제품,제사 및 방적,모방적,6,미국,598,0.7,"7,420",-5.1,4,2006
"-6,119",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"17,730",5.4,"23,849",7.4,4,2006
"9,145",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"14,566",-12.7,"5,421",-11.7,4,2006
-104,섬유제품,제사 및 방적,기타 방적,11014,미국,10,-91.5,114,-52.5,4,2006
613,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,"1,150","3,730.5",537,0.6,5,2006
"24,879",섬유제품,제사 및 방적,면방적,11019,미국,"61,128",18.7,"36,249",-3.3,5,2006
"-5,882",섬유제품,제사 및 방적,모방적,6,미국,"1,156",30.3,"7,038",-4.4,5,2006
"-9,616",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"18,659",20.2,"28,275",17.9,5,2006
"9,748",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"16,255",6.7,"6,507",-3.0,5,2006
-183,섬유제품,제사 및 방적,기타 방적,11014,미국,68,862.2,251,47.4,5,2006
821,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,"1,360","2,055.8",539,-13.3,6,2006
"36,108",섬유제품,제사 및 방적,면방적,11019,미국,"67,253",24.7,"31,145",1.2,6,2006
"-6,152",섬유제품,제사 및 방적,모방적,6,미국,"1,336",150.5,"7,488",-7.3,6,2006
"-2,051",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"21,433",16.1,"23,484",-12.7,6,2006
"8,926",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"15,804",4.6,"6,878",15.6,6,2006
-227,섬유제품,제사 및 방적,기타 방적,11014,미국,4,-13.9,231,-25.7,6,2006
239,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,733,709.1,494,2.3,7,2006
"42,703",섬유제품,제사 및 방적,면방적,11019,미국,"68,082",35.0,"25,379",-8.5,7,2006
"-7,284",섬유제품,제사 및 방적,모방적,6,미국,"1,665",232.2,"8,949",-12.7,7,2006
"-4,593",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"16,912",0.5,"21,505",-11.1,7,2006
"9,073",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"15,440",21.1,"6,367",23.2,7,2006
-222,섬유제품,제사 및 방적,기타 방적,11014,미국,16,-70.9,238,12.0,7,2006
112,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,730,"1,025.5",618,53.2,8,2006
"39,198",섬유제품,제사 및 방적,면방적,11019,미국,"65,795",22.3,"26,597",9.1,8,2006
"-7,236",섬유제품,제사 및 방적,모방적,6,미국,"1,125",113.4,"8,361",-16.1,8,2006
"-1,157",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"19,523",3.0,"20,680",-18.6,8,2006
"8,790",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"15,890",3.6,"7,100",15.1,8,2006
-149,섬유제품,제사 및 방적,기타 방적,11014,미국,3,0.0,152,-47.7,8,2006
396,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,798,"1,221.9",402,19.6,9,2006
"41,801",섬유제품,제사 및 방적,면방적,11019,미국,"68,078",47.2,"26,277",23.0,9,2006
"-5,897",섬유제품,제사 및 방적,모방적,6,미국,"1,497",129.5,"7,394",-1.3,9,2006
"-1,554",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"19,003",15.7,"20,557",-15.8,9,2006
"8,854",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"14,332",-20.7,"5,478",17.8,9,2006
-166,섬유제품,제사 및 방적,기타 방적,11014,미국,36,0.0,202,27.1,9,2006
188,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,606,505.9,418,-40.6,10,2006
"43,540",섬유제품,제사 및 방적,면방적,11019,미국,"70,629",38.0,"27,089",-8.7,10,2006
"-6,388",섬유제품,제사 및 방적,모방적,6,미국,"1,377",37.5,"7,765",-7.5,10,2006
-377,섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"20,103",10.2,"20,480",-14.5,10,2006
"8,268",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"14,418",-15.6,"6,150",4.0,10,2006
-113,섬유제품,제사 및 방적,기타 방적,11014,미국,46,0.0,159,-1.1,10,2006
-59,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,527,50.5,586,22.4,11,2006
"41,241",섬유제품,제사 및 방적,면방적,11019,미국,"65,635",32.5,"24,394",-12.4,11,2006
"-6,223",섬유제품,제사 및 방적,모방적,6,미국,"1,099",34.6,"7,322",1.3,11,2006
"-4,302",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"17,999",4.5,"22,301",13.1,11,2006
"8,504",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"14,696",-13.1,"6,192",11.9,11,2006
-261,섬유제품,제사 및 방적,기타 방적,11014,미국,8,-34.3,269,50.9,11,2006
-198,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,274,12.0,472,-29.9,12,2006
"32,090",섬유제품,제사 및 방적,면방적,11019,미국,"51,964",18.5,"19,874",-23.5,12,2006
"-5,925",섬유제품,제사 및 방적,모방적,6,미국,771,-18.1,"6,696",13.6,12,2006
"-5,778",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"13,735",-20.0,"19,513",9.1,12,2006
"6,297",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"11,117",-9.1,"4,820",-11.4,12,2006
-167,섬유제품,제사 및 방적,기타 방적,11014,미국,24,68.2,191,80.7,12,2006
-323,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,102,-12.4,425,25.0,1,2005
"15,489",섬유제품,제사 및 방적,면방적,11019,미국,"46,733",8.7,"31,244",3.7,1,2005
"-5,166",섬유제품,제사 및 방적,모방적,6,미국,847,149.8,"6,013",12.2,1,2005
"-4,123",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"15,480",78.1,"19,603",-17.4,1,2005
"9,287",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"13,531",-11.6,"4,244",25.6,1,2005
-5,섬유제품,제사 및 방적,기타 방적,11014,미국,69,40.0,74,-49.0,1,2005
-324,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,115,-47.7,439,74.2,2,2005
"14,771",섬유제품,제사 및 방적,면방적,11019,미국,"47,108",7.9,"32,337",-6.5,2,2005
"-5,188",섬유제품,제사 및 방적,모방적,6,미국,558,-20.9,"5,746",8.2,2,2005
"-7,079",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"11,320",37.7,"18,399",-15.6,2,2005
"9,157",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"14,732",13.2,"5,575",97.2,2,2005
-104,섬유제품,제사 및 방적,기타 방적,11014,미국,38,3.0,142,-1.4,2,2005
-735,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,116,-75.3,851,210.5,3,2005
"7,289",섬유제품,제사 및 방적,면방적,11019,미국,"47,736",-5.3,"40,447",-3.2,3,2005
"-5,521",섬유제품,제사 및 방적,모방적,6,미국,"1,080",28.9,"6,601",-10.8,3,2005
"-5,689",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"15,698",20.7,"21,387",-13.3,3,2005
"11,557",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"17,068",-0.5,"5,511",30.0,3,2005
-129,섬유제품,제사 및 방적,기타 방적,11014,미국,37,-37.3,166,-29.1,3,2005
-644,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,70,-69.1,714,269.2,4,2005
"8,539",섬유제품,제사 및 방적,면방적,11019,미국,"46,570",6.3,"38,031",-17.0,4,2005
"-7,228",섬유제품,제사 및 방적,모방적,6,미국,594,-6.5,"7,822",10.3,4,2005
"-5,384",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"16,822",54.5,"22,206",-11.9,4,2005
"10,546",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"16,687",3.7,"6,141",70.7,4,2005
-125,섬유제품,제사 및 방적,기타 방적,11014,미국,115,"4,308.6",240,-11.0,4,2005
-504,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,30,-52.9,534,85.9,5,2005
"13,991",섬유제품,제사 및 방적,면방적,11019,미국,"51,492",1.5,"37,501",-29.9,5,2005
"-6,478",섬유제품,제사 및 방적,모방적,6,미국,888,84.3,"7,366",-3.9,5,2005
"-8,452",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"15,524",44.3,"23,976",-10.2,5,2005
"8,528",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"15,235",1.8,"6,707",84.5,5,2005
-163,섬유제품,제사 및 방적,기타 방적,11014,미국,7,-78.8,170,74.3,5,2005
-559,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,63,-56.2,622,40.0,6,2005
"23,156",섬유제품,제사 및 방적,면방적,11019,미국,"53,943",19.4,"30,787",-39.5,6,2005
"-7,545",섬유제품,제사 및 방적,모방적,6,미국,533,2.2,"8,078",-4.3,6,2005
"-8,454",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"18,456",69.5,"26,910",-3.3,6,2005
"9,161",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"15,113",1.3,"5,952",40.5,6,2005
-307,섬유제품,제사 및 방적,기타 방적,11014,미국,4,-85.6,311,95.1,6,2005
-391,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,91,-55.3,482,54.4,7,2005
"22,699",섬유제품,제사 및 방적,면방적,11019,미국,"50,424",25.2,"27,725",-35.6,7,2005
"-9,755",섬유제품,제사 및 방적,모방적,6,미국,501,17.4,"10,256",-6.7,7,2005
"-7,347",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"16,834",54.2,"24,181",-5.8,7,2005
"7,583",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"12,751",-17.6,"5,168",27.1,7,2005
-157,섬유제품,제사 및 방적,기타 방적,11014,미국,55,644.0,212,38.8,7,2005
-338,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,65,-68.0,403,-5.4,8,2005
"29,432",섬유제품,제사 및 방적,면방적,11019,미국,"53,802",9.8,"24,370",-33.5,8,2005
"-9,438",섬유제품,제사 및 방적,모방적,6,미국,527,6.0,"9,965",9.1,8,2005
"-6,455",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"18,959",34.1,"25,414",7.2,8,2005
"9,164",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"15,332",-2.0,"6,168",32.9,8,2005
-291,섬유제품,제사 및 방적,기타 방적,11014,미국,0,-100.0,291,80.2,8,2005
-276,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,60,-64.9,336,-46.1,9,2005
"24,864",섬유제품,제사 및 방적,면방적,11019,미국,"46,234",5.0,"21,370",-27.1,9,2005
"-6,839",섬유제품,제사 및 방적,모방적,6,미국,652,-21.3,"7,491",-17.7,9,2005
"-7,990",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"16,423",13.4,"24,413",3.8,9,2005
"13,429",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"18,080",37.6,"4,651",-4.0,9,2005
-159,섬유제품,제사 및 방적,기타 방적,11014,미국,0,-100.0,159,41.5,9,2005
-604,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,100,-52.7,704,16.8,10,2005
"21,527",섬유제품,제사 및 방적,면방적,11019,미국,"51,198",1.5,"29,671",2.0,10,2005
"-7,393",섬유제품,제사 및 방적,모방적,6,미국,"1,001",-11.6,"8,394",-4.1,10,2005
"-5,713",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"18,241",14.0,"23,954",8.4,10,2005
"11,160",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"17,076",1.6,"5,916",46.9,10,2005
-161,섬유제품,제사 및 방적,기타 방적,11014,미국,0,-100.0,161,183.0,10,2005
-128,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,350,108.5,478,1.0,11,2005
"21,663",섬유제품,제사 및 방적,면방적,11019,미국,"49,520",13.4,"27,857",0.0,11,2005
"-6,412",섬유제품,제사 및 방적,모방적,6,미국,817,10.2,"7,229",10.1,11,2005
"-2,490",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"17,225",38.1,"19,715",-5.5,11,2005
"11,384",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"16,920",4.2,"5,536",14.9,11,2005
-166,섬유제품,제사 및 방적,기타 방적,11014,미국,12,86.9,178,-45.7,11,2005
-430,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,244,121.2,674,24.9,12,2005
"17,872",섬유제품,제사 및 방적,면방적,11019,미국,"43,855",19.7,"25,983",6.0,12,2005
"-4,954",섬유제품,제사 및 방적,모방적,6,미국,941,-31.9,"5,895",-23.2,12,2005
-727,섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"17,161",39.2,"17,888",-0.9,12,2005
"6,787",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"12,230",-3.9,"5,443",19.2,12,2005
-91,섬유제품,제사 및 방적,기타 방적,11014,미국,14,-79.5,105,-18.5,12,2005
-224,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,116,13.9,340,123.4,1,2004
"12,855",섬유제품,제사 및 방적,면방적,11019,미국,"42,980",44.4,"30,125",23.4,1,2004
"-5,019",섬유제품,제사 및 방적,모방적,6,미국,339,-47.6,"5,358",-8.3,1,2004
"-15,029",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"8,690",8.7,"23,719",33.1,1,2004
"11,929",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"15,307",31.5,"3,378",-19.6,1,2004
-96,섬유제품,제사 및 방적,기타 방적,11014,미국,49,244.3,145,36.1,1,2004
-31,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,221,-37.7,252,42.9,2,2004
"9,071",섬유제품,제사 및 방적,면방적,11019,미국,"43,655",51.4,"34,584",40.2,2,2004
"-4,608",섬유제품,제사 및 방적,모방적,6,미국,705,22.9,"5,313",-14.3,2,2004
"-13,576",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"8,218",13.4,"21,794",30.8,2,2004
"10,187",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"13,013",3.5,"2,826",-17.0,2,2004
-107,섬유제품,제사 및 방적,기타 방적,11014,미국,37,193.2,144,-38.7,2,2004
196,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,470,111.5,274,129.3,3,2004
"8,629",섬유제품,제사 및 방적,면방적,11019,미국,"50,419",42.6,"41,790",37.9,3,2004
"-6,561",섬유제품,제사 및 방적,모방적,6,미국,837,-18.4,"7,398",18.9,3,2004
"-11,667",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"13,006",46.7,"24,673",26.2,3,2004
"12,913",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"17,150",23.1,"4,237",7.0,3,2004
-176,섬유제품,제사 및 방적,기타 방적,11014,미국,58,688.0,234,50.1,3,2004
33,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,226,1.6,193,-35.4,4,2004
"-2,003",섬유제품,제사 및 방적,면방적,11019,미국,"43,826",26.1,"45,829",47.7,4,2004
"-6,454",섬유제품,제사 및 방적,모방적,6,미국,635,-33.9,"7,089",-13.5,4,2004
"-14,323",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"10,887",33.7,"25,210",37.6,4,2004
"12,495",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"16,092",19.8,"3,597",-10.7,4,2004
-267,섬유제품,제사 및 방적,기타 방적,11014,미국,3,-66.7,270,33.8,4,2004
-223,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,64,-39.1,287,-15.4,5,2004
"-2,719",섬유제품,제사 및 방적,면방적,11019,미국,"50,750",33.7,"53,469",77.7,5,2004
"-7,183",섬유제품,제사 및 방적,모방적,6,미국,482,-40.7,"7,665",3.8,5,2004
"-15,948",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"10,758",-1.9,"26,706",45.2,5,2004
"11,328",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"14,962",23.2,"3,634",-9.2,5,2004
-65,섬유제품,제사 및 방적,기타 방적,11014,미국,33,552.3,98,-30.1,5,2004
-300,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,144,8.8,444,-21.7,6,2004
"-5,678",섬유제품,제사 및 방적,면방적,11019,미국,"45,182",0.2,"50,860",78.3,6,2004
"-7,917",섬유제품,제사 및 방적,모방적,6,미국,522,-1.2,"8,439",33.8,6,2004
"-16,947",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"10,890",3.1,"27,837",60.2,6,2004
"10,686",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"14,922",19.3,"4,236",-5.5,6,2004
-131,섬유제품,제사 및 방적,기타 방적,11014,미국,29,-69.3,160,-24.2,6,2004
-110,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,202,36.5,312,-31.3,7,2004
"-2,813",섬유제품,제사 및 방적,면방적,11019,미국,"40,259",-1.0,"43,072",30.2,7,2004
"-10,571",섬유제품,제사 및 방적,모방적,6,미국,427,27.7,"10,998",20.4,7,2004
"-14,762",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"10,920",24.7,"25,682",49.0,7,2004
"11,415",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"15,480",31.3,"4,065",17.8,7,2004
-146,섬유제품,제사 및 방적,기타 방적,11014,미국,7,-97.4,153,19.8,7,2004
-223,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,203,-9.3,426,146.8,8,2004
"12,373",섬유제품,제사 및 방적,면방적,11019,미국,"49,020",22.2,"36,647",35.3,8,2004
"-8,639",섬유제품,제사 및 방적,모방적,6,미국,498,3.9,"9,137",28.0,8,2004
"-9,569",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"14,134",51.7,"23,703",32.5,8,2004
"11,007",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"15,649",11.7,"4,642",14.9,8,2004
-129,섬유제품,제사 및 방적,기타 방적,11014,미국,32,-71.8,161,9.0,8,2004
-451,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,172,22.8,623,604.0,9,2004
"14,681",섬유제품,제사 및 방적,면방적,11019,미국,"44,012",25.6,"29,331",3.7,9,2004
"-8,269",섬유제품,제사 및 방적,모방적,6,미국,829,19.0,"9,098",46.2,9,2004
"-9,038",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"14,476",78.5,"23,514",31.9,9,2004
"8,295",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"13,141",-21.7,"4,846",39.5,9,2004
20,섬유제품,제사 및 방적,기타 방적,11014,미국,132,15.7,112,-23.6,9,2004
-391,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,212,83.0,603,176.6,10,2004
"21,320",섬유제품,제사 및 방적,면방적,11019,미국,"50,423",16.4,"29,103",-3.0,10,2004
"-7,618",섬유제품,제사 및 방적,모방적,6,미국,"1,132",17.6,"8,750",27.1,10,2004
"-6,100",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"15,996",61.3,"22,096",17.4,10,2004
"12,785",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"16,811",3.4,"4,026",25.1,10,2004
17,섬유제품,제사 및 방적,기타 방적,11014,미국,74,126.2,57,-73.6,10,2004
-306,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,168,-39.2,474,72.9,11,2004
"15,785",섬유제품,제사 및 방적,면방적,11019,미국,"43,655",4.6,"27,870",9.1,11,2004
"-5,823",섬유제품,제사 및 방적,모방적,6,미국,741,41.0,"6,564",9.0,11,2004
"-8,378",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"12,477",8.6,"20,855",22.1,11,2004
"11,420",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"16,238",21.4,"4,818",94.2,11,2004
-323,섬유제품,제사 및 방적,기타 방적,11014,미국,6,-5.2,329,129.9,11,2004
-429,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,110,-30.0,539,135.5,12,2004
"12,129",섬유제품,제사 및 방적,면방적,11019,미국,"36,641",-1.1,"24,512",-9.4,12,2004
"-6,292",섬유제품,제사 및 방적,모방적,6,미국,"1,382",592.6,"7,674",32.5,12,2004
"-5,712",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"12,330",38.2,"18,042",-9.4,12,2004
"8,159",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"12,726",-6.8,"4,567",22.4,12,2004
